,File Name,Latitude,Longitude,ImagePath,TestType,Temperature (°C),Conductivity (µS/cm),Salinity (PSS),Density (kg/m³)
90,CC2435009_20250517_172030,40.2864788,-106.8556851,data/profiles\profile_CC2435009_20250517_172030.png,cast,11.081000688148162,313.8940124511719,0.2065595259106417,999.7620825138448
91,CC2435009_20250517_172425,40.2867823,-106.8561798,data/profiles\profile_CC2435009_20250517_172425.png,cast,11.333392630546877,314.9359741210937,0.2059376109698533,999.735215459605
92,CC2435009_20250517_172628,40.2868709,-106.8564574,data/profiles\profile_CC2435009_20250517_172628.png,cast,11.111917778713478,314.13702392578125,0.2065608477684354,999.7588964774347
93,CC2435009_20250517_172732,40.2870344,-106.8567535,data/profiles\profile_CC2435009_20250517_172732.png,cast,11.299741744995115,314.93322753906256,0.2061115804363648,999.7389164890286
94,CC2435009_20250517_172848,40.2872626,-106.857079,data/profiles\profile_CC2435009_20250517_172848.png,cast,11.05822938967304,312.02443025692645,0.2054169575041844,999.7635255894256
95,CC2435009_20250517_173059,40.2874729,-106.8573141,data/profiles\profile_CC2435009_20250517_173059.png,cast,11.179674234195922,313.5057678222656,0.2057801894875204,999.7512563048848
96,CC2435009_20250517_173251,40.2875777,-106.857508,data/profiles\profile_CC2435009_20250517_173251.png,cast,11.26311860026826,312.3321228027344,0.2045564562103649,999.7415602240012
97,CC2435009_20250517_173457,40.2876972,-106.8576967,data/profiles\profile_CC2435009_20250517_173457.png,cast,11.088679211641864,306.7653059743907,0.2017113882218825,999.7574890407542
98,CC2435009_20250517_173839,40.28701,-106.8570015,data/profiles\profile_CC2435009_20250517_173839.png,cast,11.419424287810696,314.9424653371129,0.2054936890638853,999.7256878816764
99,CC2435009_20250517_173933,40.2870735,-106.8568436,data/profiles\profile_CC2435009_20250517_173933.png,cast,11.27768144883187,314.2787780761719,0.2057875963204988,999.7409914464956
100,CC2435009_20250517_174031,40.2872326,-106.8565837,data/profiles\profile_CC2435009_20250517_174031.png,cast,11.217524295374377,314.4021169878055,0.2061850935205046,999.7476220130897
101,CC2435009_20250517_174119,40.2871227,-106.8564004,data/profiles\profile_CC2435009_20250517_174119.png,cast,11.104653549880128,312.42444639262936,0.2054440421891273,999.7587704112408
102,CC2435009_20250517_174258,40.2865647,-106.8564631,data/profiles\profile_CC2435009_20250517_174258.png,cast,11.466239550425424,315.1724793950551,0.2054041341605982,999.720582483769
103,CC2435009_20250517_174438,40.2867151,-106.8556661,data/profiles\profile_CC2435009_20250517_174438.png,cast,10.86174930995858,311.71588134765625,0.2062402024876636,999.7840766344754
104,CC2435009_20250517_174609,40.2861068,-106.8556919,data/profiles\profile_CC2435009_20250517_174609.png,cast,11.326443536827496,313.9489135742187,0.205312099041948,999.7354624937076
105,CC2435009_20250517_174752,40.2863941,-106.8543605,data/profiles\profile_CC2435009_20250517_174752.png,cast,11.029889252232715,312.0011901855469,0.2055496380987113,999.7665317499016
106,CC2435009_20250517_175733,40.2832652,-106.8540483,data/profiles\profile_CC2435009_20250517_175733.png,cast,11.334981123196997,314.3963623046875,0.2055675958642569,999.7347568146456
107,CC2435009_20250517_175849,40.2832753,-106.854042,data/profiles\profile_CC2435009_20250517_175849.png,cast,11.38367790914541,314.6995239257813,0.2055170949731623,999.7295319605364
108,CC2435009_20250517_175943,40.2832731,-106.8540311,data/profiles\profile_CC2435009_20250517_175943.png,cast,11.39118173312701,314.7679748535156,0.2055238641238699,999.7287355359722
109,CC2435009_20250517_180034,40.2832741,-106.8540506,data/profiles\profile_CC2435009_20250517_180034.png,cast,11.35743371842055,314.5045580968343,0.2055231500302836,999.7323350043488
110,CC2435009_20250517_180205,40.2832612,-106.8540194,data/profiles\profile_CC2435009_20250517_180205.png,cast,11.337318420410156,314.57061767578125,0.2056722176977708,999.7345906362776
111,CC2435009_20250517_180242,40.2832537,-106.8540038,data/profiles\profile_CC2435009_20250517_180242.png,cast,11.323599981367789,314.66064453125,0.2058041209892325,999.7361496756604
112,CC2435009_20250517_180414,40.2834392,-106.8537264,data/profiles\profile_CC2435009_20250517_180414.png,cast,11.034749031066896,311.7340087890625,0.2053436801720639,999.7658732532482
113,CC2435009_20250517_180453,40.2834463,-106.8537321,data/profiles\profile_CC2435009_20250517_180453.png,cast,11.065969467163086,311.8701171875,0.2052723028163463,999.7626177020692
114,CC2435009_20250517_180530,40.2834557,-106.8537515,data/profiles\profile_CC2435009_20250517_180530.png,cast,11.045427322387695,311.69512939453125,0.2052615602930915,999.7647159105668
115,CC2435009_20250517_180717,40.2836399,-106.8534394,data/profiles\profile_CC2435009_20250517_180717.png,cast,11.031786918640137,311.5141906738281,0.2052106703478458,999.766071803164
116,CC2435009_20250517_180756,40.2836489,-106.8534354,data/profiles\profile_CC2435009_20250517_180756.png,cast,11.030692100524902,311.6019897460937,0.2052757144204712,999.7662347635844
117,CC2435009_20250517_180836,40.2836502,-106.8534551,data/profiles\profile_CC2435009_20250517_180836.png,cast,11.04231071472168,311.5693359375,0.2051928969108598,999.7649811751744
118,CC2435009_20250517_190743,40.2829163,-106.8514433,data/profiles\profile_CC2435009_20250517_190743.png,cast,11.252825201345804,313.4014504617532,0.2053281108363366,999.7432477708404
119,CC2435009_20250517_191033,40.2818387,-106.8500863,data/profiles\profile_CC2435009_20250517_191033.png,cast,11.359100341796877,313.94580078125,0.2051401870057671,999.7318574241498
120,CC2435009_20250517_194148,40.2721508,-106.8767346,,point,11.806551933288574,318.72320556640625,0.2059993219422931,999.6861455272184
121,CC2435009_20250518_162158,40.2840935,-106.8536933,data/profiles\profile_CC2435009_20250518_162158.png,cast,11.133793436370386,312.669677734375,0.2054570183794441,999.7557681977808
122,CC2435009_20250518_164713,40.2781636,-106.8649939,data/profiles\profile_CC2435009_20250518_164713.png,cast,11.130357726868064,312.84814453125,0.2055952450307607,999.7562323580964
123,CC2435009_20250518_165029,40.2775064,-106.8656371,data/profiles\profile_CC2435009_20250518_165029.png,cast,11.163470930477017,313.31833972773626,0.2057387716453482,999.7529098773726
124,CC2435009_20250518_165437,40.2782904,-106.8658602,data/profiles\profile_CC2435009_20250518_165437.png,cast,11.123682022094728,313.1203918457031,0.2058136750032069,999.7570944730138
