,Unnamed: 0,Pressure (dbar),Depth (m),Temperature (°C),Conductivity (µS/cm),Specific Conductance (µS/cm),Salinity (PSS),Sound Velocity (m/s),Density (kg/m³),Latitude,Longitude,UTC Time,File Name,Area,TestType
3656,3656,7.35,7.4943752851036125,9.48729801164816,305.3509063718131,442.7005361056122,0.2092126452201068,1445.613814493392,999.9459034329108,40.2759831,-106.8565891,2025-05-19 17:40:54,CC2435009_20250519_174054,MID,cast
3657,3657,7.65,7.800242527084813,9.39245494938792,304.6702021540557,442.93174564364426,0.2092528402634391,1445.2370141493884,999.9550818502285,40.2759831,-106.8565891,2025-05-19 17:40:54,CC2435009_20250519_174054,MID,cast
3658,3658,7.95,8.1061070455272,9.290756123902964,302.87830764472886,441.6325883137967,0.2085437133269137,1444.8306868120494,999.9640918326716,40.2759831,-106.8565891,2025-05-19 17:40:54,CC2435009_20250519_174054,MID,cast
3659,3659,8.25,8.411969079414872,9.213918685909205,302.51002502439803,442.0861986045828,0.2087041657674331,1444.5250592868606,999.9717079226588,40.2759831,-106.8565891,2025-05-19 17:40:54,CC2435009_20250519_174054,MID,cast
3660,3660,8.549999999999999,8.717829158969172,9.158015363959786,301.63598755547474,441.5303177621551,0.2083901587816729,1444.3030857588908,999.9772511739336,40.2759831,-106.8565891,2025-05-19 17:40:54,CC2435009_20250519_174054,MID,cast
3661,3661,8.85,9.023686946800554,9.051016687905134,301.1140149057993,442.1512838598362,0.2086072623731936,1443.8740292041418,999.9870736224312,40.2759831,-106.8565891,2025-05-19 17:40:54,CC2435009_20250519_174054,MID,cast
3662,3662,9.15,9.329540690119629,8.853087059012713,300.9745222493768,444.5303935276536,0.209603658841441,1443.0740345082138,1000.0040786668146,40.2759831,-106.8565891,2025-05-19 17:40:54,CC2435009_20250519_174054,MID,cast
3663,3663,9.45,9.63538999334996,8.695219516754047,298.9908142089839,443.6694856080678,0.209056859396126,1442.4324181970867,1000.0164884265142,40.2759831,-106.8565891,2025-05-19 17:40:54,CC2435009_20250519_174054,MID,cast
3664,3664,9.75,9.94123568728056,8.543703116034774,296.9678423327636,442.6581068069452,0.2084404437445199,1441.8143381193497,1000.0280615163472,40.2759831,-106.8565891,2025-05-19 17:40:54,CC2435009_20250519_174054,MID,cast
3665,3665,10.049999999999995,10.247077673216925,8.372055766932185,295.59256105088525,442.8743663789856,0.2084001315857091,1441.1115537471192,1000.041117289558,40.2759831,-106.8565891,2025-05-19 17:40:54,CC2435009_20250519_174054,MID,cast
3666,3666,10.35,10.552916190257529,8.229470491409295,293.12062072753906,441.0552085133565,0.2073961370967398,1440.5250678229734,1000.0511272913112,40.2759831,-106.8565891,2025-05-19 17:40:54,CC2435009_20250519_174054,MID,cast
3667,3667,10.65,10.858751040975594,8.023030442457301,291.29548944626214,441.04899753801385,0.2072126627172785,1439.6717784149262,1000.0654748198413,40.2759831,-106.8565891,2025-05-19 17:40:54,CC2435009_20250519_174054,MID,cast
3668,3668,10.95,11.164581838617323,7.843261718749998,290.3041076660156,441.95383234467687,0.2074897302198651,1438.926386796079,1000.0780147104572,40.2759831,-106.8565891,2025-05-19 17:40:54,CC2435009_20250519_174054,MID,cast
3669,3669,11.25,11.470409581978291,7.740393877029417,290.11991882324213,443.0611310189362,0.2079313648078546,1438.5007768083497,1000.0858306181806,40.2759831,-106.8565891,2025-05-19 17:40:54,CC2435009_20250519_174054,MID,cast
3670,3670,11.549999999999995,11.776235233587208,7.662628317904133,290.117220677662,444.1118728320973,0.2083674256338371,1438.179601759441,1000.0920757472852,40.2759831,-106.8565891,2025-05-19 17:40:54,CC2435009_20250519_174054,MID,cast
3671,3671,11.85,12.082059200154244,7.600896305964069,290.0453928929322,444.84266654943286,0.208662833517807,1437.9251209641786,1000.0972318294738,40.2759831,-106.8565891,2025-05-19 17:40:54,CC2435009_20250519_174054,MID,cast
3672,3672,12.15,12.387881916353406,7.567833706581539,289.98758057385265,445.20551042246615,0.208806551774075,1437.7908536714326,1000.100634142718,40.2759831,-106.8565891,2025-05-19 17:40:54,CC2435009_20250519_174054,MID,cast
3673,3673,12.45,12.693703797135091,7.550917863845825,289.9555206298828,445.3876259998421,0.2088778143150133,1437.7244329769348,1000.1030763439574,40.2759831,-106.8565891,2025-05-19 17:40:54,CC2435009_20250519_174054,MID,cast
3674,3674,12.75,12.999524925518813,7.52627401426487,289.8601426969012,445.5784615381688,0.2089460253986145,1437.6253979433477,1000.1059357070566,40.2759831,-106.8565891,2025-05-19 17:40:54,CC2435009_20250519_174054,MID,cast
3675,3675,13.049999999999995,13.305345258146763,7.504225969314574,289.81158447265625,445.8060080345418,0.2090343459739078,1437.537276970343,1000.1086615142414,40.2759831,-106.8565891,2025-05-19 17:40:54,CC2435009_20250519_174054,MID,cast
