Pressure (dbar),Depth (m),Temperature (°C),Conductivity (µS/cm),Specific Conductance (µS/cm),Salinity (PSS),Sound Velocity (m/s),Density (kg/m³),Latitude,Longitude,UTC Time,File Name
2.25,2.295126310089586,13.544289975780567,333.17614245087736,432.199091824275,0.20648478948643587,1461.039986454733,999.4799168319565,40.2869155,-106.8563551,2025-05-13 20:40:57,CC2435009_20250513_204057
2.55,2.6011352882239396,13.533345960421485,333.137742925302,432.27201612270534,0.20651470016521173,1461.0051195625808,999.4828138089439,40.2869155,-106.8563551,2025-05-13 20:40:57,CC2435009_20250513_204057
2.85,2.9071433942876497,13.520395934533477,333.1165258571579,432.38979996895546,0.20656561896904702,1460.9629767244714,999.4859938522043,40.2869155,-106.8563551,2025-05-13 20:40:57,CC2435009_20250513_204057
3.15,3.21315063170358,13.509290931311916,332.99392322157814,432.35530331567423,0.20654297488511392,1460.9274355662405,999.4888685024279,40.2869155,-106.8563551,2025-05-13 20:40:57,CC2435009_20250513_204057
3.51528753553118,3.585751984462033,13.510804530619922,333.0785505378051,432.4481851229237,0.2065879816289324,1460.938899945985,999.4904174769067,40.2869155,-106.8563551,2025-05-13 20:40:57,CC2435009_20250513_204057
0.15,0.1532295472320261,14.137958526611328,336.64532470703125,430.0752228531974,0.20570588146652763,1463.1450837680115,999.3878559775734,40.2872807,-106.8568961,2025-05-13 20:42:33,CC2435009_20250513_204233
0.45,0.4590530571926637,14.025117374132318,335.97052877032695,430.45421945742055,0.20584379657889487,1462.745833250554,999.4052048447073,40.2872807,-106.8568961,2025-05-13 20:42:33,CC2435009_20250513_204233
0.7499999999999999,0.7650837596121097,13.979284286499023,335.2347106933594,430.0165034193204,0.20561007672981005,1462.5858675051813,999.412818195069,40.2872807,-106.8568961,2025-05-13 20:42:33,CC2435009_20250513_204233
1.05,1.071112467542392,13.948443284880089,335.2014915804687,430.3143634377231,0.2057418525923976,1462.4800590663738,999.4186120548559,40.2872807,-106.8568961,2025-05-13 20:42:33,CC2435009_20250513_204233
1.35,1.377139854264133,13.936103820800781,335.305908203125,430.5848239802502,0.2058679621303721,1462.440704243322,999.4218280016937,40.2872807,-106.8568961,2025-05-13 20:42:33,CC2435009_20250513_204233
